Ranking,City (State),Overall IDHM,IDHM Wage,IDHM Longevity,IDHM Education
 1 º, São Caetano do Sul (SP),862,891,887,811
 2 º, Águas de São Pedro (SP),854,849,890,825
 3 º, Florianópolis (SC),847,870,873,800
 4 º, Balneário Camboriú (SC),845,854,894,789
 4 º, Vitória (ES),845,876,855,805
 6 º, Santos (SP),840,861,852,807
 7 º, Niterói (RJ),837,887,854,773
 8 º, Joaçaba (SC),827,823,891,771
 9 º, Brasília (DF),824,863,873,742
 10 º, Curitiba (PR),823,850,855,768
 11 º, Jundiaí (SP),822,834,866,768
 12 º, Valinhos (SP),819,848,850,763
 13 º, Vinhedo (SP),817,840,878,739
 14 º, Santo André (SP),815,819,861,769
 14 º, Araraquara (SP),815,788,877,782
 16 º, Santana de Parnaíba (SP),814,876,849,725
 17 º, Nova Lima (MG),813,864,885,704
 18 º, Ilha Solteira (SP),812,786,871,782
 19 º, Americana (SP),811,800,876,760
 20 º, Belo Horizonte (MG),810,841,856,737
 21 º, São José (SC),809,799,880,752
 21 º, Joinville (SC),809,795,889,749
 23 º, Maringá (PR),808,806,852,768
 24 º, São José dos Campos (SP),807,804,855,764
 25 º, Blumenau (SC),806,812,894,722
 25 º, Presidente Prudente (SP),806,788,858,774
 25 º, Rio Fortuna (SC),806,848,850,727
 28 º, São Paulo (SP),805,843,855,725
 28 º, Assis (SP),805,771,865,781
 28 º, Campinas (SP),805,829,860,731
 28 º, São Bernardo do Campo (SP),805,807,861,752
 28 º, Porto Alegre (RS),805,867,857,702
 28 º, São Carlos (SP),805,788,863,766
 34 º, Rio Claro (SP),803,784,862,766
 34 º, Jaraguá do Sul (SC),803,793,865,755
 36 º, Rio do Sul (SC),802,793,894,727
 37 º, Bauru (SP),801,800,854,752
 37 º, São Miguel do Oeste (SC),801,787,884,739
 37 º, Pirassununga (SP),801,789,884,736
 40 º, Concórdia (SC),800,777,872,756
 40 º, Vila Velha (ES),800,807,864,734
 40 º, Taubaté (SP),800,778,883,746
 40 º, Ribeirão Preto (SP),800,820,844,739
 40 º, Botucatu (SP),800,790,869,746
 45 º, Goiânia (GO),799,824,838,739
 45 º, Rio de Janeiro (RJ),799,840,845,719
 47 º, Marília (SP),798,768,854,776
 47 º, Sorocaba (SP),798,792,843,762
 47 º, Guaratinguetá (SP),798,764,886,751
 50 º, São João da Boa Vista (SP),797,776,871,749
 50 º, São José do Rio Preto (SP),797,801,846,748
 50 º, Fernandópolis (SP),797,767,872,758
 53 º, Itapema (SC),796,788,881,727
 53 º, Tubarão (SC),796,788,866,740
 53 º, Carlos Barbosa (RS),796,835,835,724
 56 º, Brusque (SC),795,794,894,707
 56 º, Iomerê (SC),795,754,891,749
 56 º, Paulínia (SP),795,800,864,727
 56 º, Treze Tílias (SC),795,838,874,685
 56 º, Itajaí (SC),795,778,884,730
 61 º, Holambra (SP),793,815,878,698
 62 º, Quatro Pontes (PR),791,790,838,748
 62 º, Três Arroios (RS),791,843,851,689
 62 º, Nova Odessa (SP),791,755,861,762
 62 º, Ipiranga do Sul (RS),791,818,866,698
 62 º, Saltinho (SP),791,771,857,750
 67 º, Votuporanga (SP),790,772,857,744
 67 º, Santa Cruz da Conceição (SP),790,830,876,679
 67 º, Adamantina (SP),790,772,852,750
 67 º, Chapecó (SC),790,779,871,727
 71 º, Cândido Rodrigues (SP),789,747,863,762
 71 º, Uberlândia (MG),789,776,885,716
 71 º, Barretos (SP),789,762,875,738
 71 º, Luzerna (SC),789,781,877,718
 71 º, Lagoa dos Três Cantos (RS),789,765,852,754
 76 º, Araçatuba (SP),788,782,841,744
 76 º, Cruzeiro (SP),788,742,871,758
 76 º, Mairiporã (SP),788,767,881,723
 76 º, Barra Bonita (SP),788,762,869,739
 76 º, Criciúma (SC),788,786,846,737
 76 º, Indaiatuba (SP),788,791,837,738
 76 º, Caçapava (SP),788,754,858,755
 76 º, Fernando de Noronha (PE),788,781,839,748
 76 º, Palmas (TO),788,789,827,749
 85 º, Itajubá (MG),787,767,884,718
 85 º, Espírito Santo do Pinhal (SP),787,784,872,712
 87 º, Garibaldi (RS),786,825,856,688
 87 º, Pompéia (SP),786,750,864,748
 87 º, Porto União (SC),786,752,891,724
 87 º, Lins (SP),786,762,869,733
 87 º, Barueri (SP),786,791,866,708
 92 º, Piracicaba (SP),785,797,848,717
 92 º, Amparo (SP),785,780,871,711
 92 º, Nova Araçá (RS),785,796,843,722
 92 º, Cuiabá (MT),785,800,834,726
 92 º, Catanduva (SP),785,767,853,740
 92 º, Casca (RS),785,778,847,733
 92 º, Tremembé (SP),785,769,873,720
 92 º, Monte Aprazível (SP),785,781,861,720
 100 º, Santa Fé do Sul (SP),784,763,840,751
 100 º, Ribeirão Pires (SP),784,749,847,760
 100 º, Ivoti (RS),784,780,848,729
 100 º, Jaguariúna (SP),784,782,862,715
 100 º, Santa Maria (RS),784,795,848,715
 100 º, Salto Veloso (SC),784,778,880,705
 100 º, Arujá (SP),784,761,866,730
 100 º, Timbó (SC),784,807,856,697
 100 º, Campo Grande (MS),784,790,844,724
 100 º, Mogi Mirim (SP),784,767,879,715
 110 º, Horizontina (RS),783,782,858,716
 110 º, Pinhalzinho (SC),783,758,886,716
 110 º, Mogi das Cruzes (SP),783,762,851,740
 113 º, Cascavel (PR),782,776,846,728
 113 º, Caxias do Sul (RS),782,812,860,686
 113 º, Pato Branco (PR),782,778,845,728
 113 º, Cerquilho (SP),782,758,854,739
 113 º, Lavras (MG),782,757,880,719
 113 º, São Bento do Sul (SC),782,763,871,719
 119 º, Caieiras (SP),781,740,861,749
 119 º, Ijuí (RS),781,786,858,707
 119 º, Santo Amaro da Imperatriz (SC),781,753,890,710
 119 º, Bombinhas (SC),781,753,864,732
 119 º, Maravilha (SC),781,758,886,708
 119 º, Águas da Prata (SP),781,750,886,716
 119 º, Lacerdópolis (SC),781,763,883,708
 119 º, Santa Bárbara D'Oeste (SP),781,752,867,731
 119 º, Araras (SP),781,763,859,728
 128 º, Bebedouro (SP),780,756,853,735
 128 º, Cocal do Sul (SC),780,747,859,740
 128 º, Pomerode (SC),780,780,886,687
 128 º, Franca (SP),780,749,842,753
 128 º, Vista Alegre do Prata (RS),780,809,847,692
 128 º, Nova Petrópolis (RS),780,775,890,688
 128 º, Boituva (SP),780,757,861,728
 128 º, Braço do Trombudo (SC),780,766,883,702
 128 º, Orlândia (SP),780,765,882,703
 128 º, Corupá (SC),780,768,873,707
 128 º, Cotia (SP),780,789,851,707
 128 º, Birigui (SP),780,743,869,734
 128 º, Salto (SP),780,755,837,751
 141 º, Poços de Caldas (MG),779,768,872,706
 141 º, Andradina (SP),779,762,885,702
 141 º, Piratininga (SP),779,762,859,723
 141 º, Seara (SC),779,804,872,674
 145 º, Bento Gonçalves (RS),778,805,842,695
 145 º, Varginha (MG),778,760,875,707
 145 º, Juiz de Fora (MG),778,784,844,711
 145 º, Ourinhos (SP),778,753,859,727
 145 º, Jaú (SP),778,768,886,693
 145 º, Londrina (PR),778,789,837,712
 145 º, Tietê (SP),778,764,884,698
 145 º, Jaboticabal (SP),778,778,851,710
 145 º, Itatiba (SP),778,788,844,708
 145 º, Lajeado (RS),778,796,840,704
 145 º, Braço do Norte (SC),778,746,881,716
 145 º, Nova Bréscia (RS),778,836,847,666
 157 º, Victor Graeff (RS),777,774,840,722
 157 º, José Bonifácio (SP),777,752,869,717
 157 º, Selbach (RS),777,785,841,710
 157 º, Indaial (SC),777,767,873,701
 157 º, Louveira (SP),777,783,861,697
 157 º, Mafra (SC),777,738,880,723
 157 º, Jacareí (SP),777,749,837,749
 157 º, Sarandi (RS),777,776,858,705
 157 º, Lagoa Santa (MG),777,790,857,693
 157 º, Pinheiro Preto (SC),777,762,866,712
 157 º, Farroupilha (RS),777,783,861,696
 168 º, Iracemápolis (SP),776,742,863,729
 168 º, Itaú de Minas (MG),776,761,862,711
 168 º, Bragança Paulista (SP),776,772,861,704
 168 º, Erechim (RS),776,782,833,716
 168 º, Passo Fundo (RS),776,787,849,699
 168 º, Jales (SP),776,750,855,730
 168 º, Osasco (SP),776,776,840,718
 168 º, Araçoiaba da Serra (SP),776,751,860,723
 168 º, Pirapozinho (SP),776,740,863,733
 168 º, Dracena (SP),776,752,842,737
 178 º, Xanxerê (SC),775,760,861,711
 178 º, Limeira (SP),775,761,852,719
 178 º, Ceres (GO),775,753,842,733
 178 º, Itapiranga (SC),775,766,842,723
 178 º, Viçosa (MG),775,758,883,696
 178 º, Santa Rita do Passa Quatro (SP),775,764,887,686
 178 º, Trombudo Central (SC),775,760,880,696
 185 º, Ouro (SC),774,774,884,677
 185 º, Treviso (SC),774,737,882,714
 185 º, Massaranduba (SC),774,749,867,714
 185 º, Mogi Guaçu (SP),774,740,852,736
 185 º, Siderópolis (SC),774,751,880,701
 185 º, Marau (RS),774,773,857,699
 185 º, Francisco Beltrão (PR),774,758,844,726
 185 º, Cruzália (SP),774,698,853,778
 185 º, Marechal Cândido Rondon (PR),774,782,842,704
 185 º, Pouso Alegre (MG),774,755,872,704
 185 º, São José do Rio Pardo (SP),774,744,868,717
 185 º, Pedrinhas Paulista (SP),774,749,837,739
 197 º, Paraí (RS),773,787,866,679
 197 º, Itu (SP),773,782,854,692
 197 º, Auriflama (SP),773,746,840,738
 197 º, Araguari (MG),773,740,871,716
 197 º, Serra Alta (SC),773,758,879,694
 197 º, Santana da Ponte Pensa (SP),773,751,840,733
 197 º, Rio das Ostras (RJ),773,784,854,689
 197 º, Pindamonhangaba (SP),773,745,843,736
 197 º, Olímpia (SP),773,737,867,724
 197 º, Veranópolis (RS),773,797,838,692
 197 º, Santa Cruz do Sul (RS),773,782,852,693
 197 º, Matão (SP),773,766,847,713
 197 º, Sebastianópolis do Sul (SP),773,748,835,740
 210 º, São Sebastião (SP),772,747,875,703
 210 º, Aratiba (RS),772,801,856,670
 210 º, Uberaba (MG),772,772,845,705
 210 º, Araxá (MG),772,756,858,709
 210 º, Santo Ângelo (RS),772,765,863,696
 210 º, Recife (PE),772,798,825,698
 210 º, Sales Oliveira (SP),772,738,845,739
 210 º, Monções (SP),772,731,814,773
 210 º, Urussanga (SC),772,756,876,695
 210 º, Santa Salete (SP),772,712,864,748
 220 º, Lajeado Grande (SC),771,750,858,712
 220 º, Maracaí (SP),771,711,850,758
 220 º, Volta Redonda (RJ),771,763,833,720
 220 º, Itá (SC),771,747,879,698
 220 º, Poá (SP),771,710,856,754
 220 º, Ipatinga (MG),771,752,864,705
 220 º, Tupã (SP),771,764,852,704
 227 º, Ouroeste (SP),770,717,866,736
 227 º, Lages (SC),770,755,867,697
 227 º, Montes Claros (MG),770,707,868,744
 227 º, Aracaju (SE),770,784,823,708
 227 º, Santa Rosa de Viterbo (SP),770,746,868,704
 227 º, Macatuba (SP),770,763,859,697
 227 º, Armazém (SC),770,743,882,698
 227 º, Oriente (SP),770,717,837,761
 227 º, Timóteo (MG),770,737,836,742
 227 º, Presidente Castello Branco (SC),770,813,883,637
 227 º, Vargem Grande Paulista (SP),770,755,884,683
 238 º, Tupi Paulista (SP),769,762,835,715
 238 º, Santa Rosa (RS),769,752,871,693
 238 º, Taboão da Serra (SP),769,742,863,710
 238 º, Cosmópolis (SP),769,746,876,697
 238 º, São Carlos (SC),769,763,867,688
 238 º, Campo Limpo Paulista (SP),769,733,840,739
 238 º, Schroeder (SC),769,750,855,710
 238 º, Garça (SP),769,737,849,728
 238 º, Arroio do Meio (RS),769,750,860,706
 238 º, Pedreira (SP),769,750,864,701
 238 º, Barbacena (MG),769,751,881,687
 249 º, Lucas do Rio Verde (MT),768,766,833,710
 249 º, Toledo (PR),768,755,855,702
 249 º, Nova Veneza (SC),768,741,869,703
 249 º, Nova Boa Vista (RS),768,764,836,708
 249 º, São Luís (MA),768,741,813,752
 249 º, Resende (RJ),768,762,839,709
 249 º, São Vicente (SP),768,738,857,716
 249 º, Palotina (PR),768,760,864,689
 249 º, Três Passos (RS),768,745,858,710
 249 º, São Roque (SP),768,765,863,687
 249 º, Igarapava (SP),768,809,835,671
 249 º, Bilac (SP),768,743,845,722
 249 º, Maracajá (SC),768,752,861,699
 249 º, Monte Alto (SP),768,746,859,707
 249 º, São Marcos (RS),768,775,855,683
 249 º, Regente Feijó (SP),768,735,818,752
 265 º, Serra Negra (SP),767,764,873,676
 265 º, Votorantim (SP),767,720,838,747
 265 º, Capivari de Baixo (SC),767,724,870,716
 265 º, Orindiúva (SP),767,719,824,762
 265 º, Estrela (RS),767,776,850,684
 265 º, Avaré (SP),767,751,866,695
 265 º, Dois Vizinhos (PR),767,747,850,711
 265 º, Encantado (RS),767,764,858,687
 265 º, Novo Xingu (RS),767,749,850,708
 274 º, Cedral (SP),766,749,872,689
 274 º, Poloni (SP),766,736,853,717
 274 º, Mauá (SP),766,721,852,733
 274 º, Nova Prata (RS),766,782,839,686
 274 º, Parnamirim (RN),766,750,825,726
 274 º, Santiago (RS),766,746,882,682
 274 º, Ivatuba (PR),766,718,837,748
 274 º, Peritiba (SC),766,762,882,669
 274 º, Pereira Barreto (SP),766,728,845,732
 274 º, Capivari do Sul (RS),766,805,836,668
 274 º, Alumínio (SP),766,729,841,732
 274 º, Carazinho (RS),766,756,840,707
 274 º, São Simão (SP),766,732,852,722
 274 º, Lorena (SP),766,736,856,713
 274 º, Catalão (GO),766,769,819,715
 289 º, Ituverava (SP),765,768,841,694
 289 º, Guaporé (RS),765,781,837,685
 289 º, Atibaia (SP),765,786,851,670
 289 º, Ibirubá (RS),765,786,848,671
 289 º, Imbituba (SC),765,734,868,703
 289 º, Suzano (SP),765,708,873,723
 289 º, Gaspar (SC),765,770,889,655
 289 º, São Domingos (SC),765,769,861,675
 289 º, Espumoso (RS),765,747,884,677
 289 º, Não-Me-Toque (RS),765,784,847,673
 289 º, Colinas (RS),765,786,840,678
 289 º, Patos de Minas (MG),765,749,855,698
 289 º, Nova Erechim (SC),765,767,851,686
 289 º, Maricá (RJ),765,761,850,692
 289 º, Nova Europa (SP),765,718,869,718
 304 º, Santo Antônio do Palma (RS),764,787,853,665
 304 º, Arroio Trinta (SC),764,781,873,653
 304 º, Gramado (RS),764,783,861,662
 304 º, Rondinha (RS),764,780,842,678
 304 º, Lençóis Paulista (SP),764,743,837,717
 304 º, Ouro Branco (MG),764,753,872,680
 304 º, Cerro Largo (RS),764,752,849,698
 304 º, São Valentim do Sul (RS),764,776,848,677
 304 º, Videira (SC),764,772,857,675
 304 º, Cachoeira Paulista (SP),764,733,837,728
 304 º, Imbé (RS),764,825,847,638
 304 º, Montauri (RS),764,790,852,662
 304 º, Rosana (SP),764,749,818,728
 304 º, Macaé (RJ),764,792,828,681
 304 º, Divinópolis (MG),764,753,844,702
 304 º, Paraíso do Tocantins (TO),764,759,831,706
 320 º, São Domingos do Sul (RS),763,780,839,680
 320 º, Medianeira (PR),763,762,849,686
 320 º, Presidente Venceslau (SP),763,749,837,708
 320 º, São Pedro do Butiá (RS),763,760,843,694
 320 º, Guararapes (SP),763,727,840,726
 320 º, Natal (RN),763,768,835,694
 320 º, João Pessoa (PB),763,770,832,693
 320 º, Paranavaí (PR),763,750,844,703
 320 º, Itapetininga (SP),763,728,864,705
 320 º, Gabriel Monteiro (SP),763,721,809,762
 320 º, Ponta Grossa (PR),763,755,837,703
 320 º, Barra Funda (RS),763,731,856,710
 320 º, Fagundes Varela (RS),763,773,852,674
 320 º, Buritama (SP),763,736,839,720
 320 º, Guarulhos (SP),763,746,831,717
 335 º, Paraguaçu Paulista (SP),762,717,836,739
 335 º, Sumaré (SP),762,744,845,705
 335 º, David Canabarro (RS),762,740,870,688
 335 º, Saldanha Marinho (RS),762,745,841,706
 335 º, Itupeva (SP),762,750,844,699
 335 º, Serranópolis do Iguaçu (PR),762,778,859,662
 335 º, Boa Vista do Buricá (RS),762,761,834,697
 335 º, Mirassol (SP),762,748,846,698
 335 º, Osvaldo Cruz (SP),762,740,837,713
 335 º, Itapira (SP),762,750,852,692
 335 º, Torres (RS),762,750,862,685
 335 º, São Joaquim da Barra (SP),762,740,847,706
 335 º, Mococa (SP),762,756,827,709
 335 º, Santa Cruz do Rio Pardo (SP),762,744,867,686
 335 º, São Francisco do Sul (SC),762,740,856,699
 350 º, Nova Pádua (RS),761,762,852,678
 350 º, Indiana (SP),761,714,843,733
 350 º, Alfenas (MG),761,737,841,712
 350 º, Panambi (RS),761,752,848,691
 350 º, Itapoá (SC),761,739,874,682
 350 º, Entre Rios do Oeste (PR),761,778,826,686
 350 º, Umuarama (PR),761,755,836,698
 350 º, Vila Maria (RS),761,791,839,664
 350 º, Santa Rita D'Oeste (SP),761,711,839,740
 350 º, São João do Oeste (SC),761,756,873,668
 350 º, Taió (SC),761,749,879,670
 350 º, Batatais (SP),761,766,840,685
 350 º, Conselheiro Lafaiete (MG),761,736,860,697
 350 º, Iguaba Grande (RJ),761,744,841,704
 350 º, Zortéa (SC),761,752,885,661
 350 º, Sertãozinho (SP),761,768,855,672
 366 º, Itaara (RS),760,761,841,687
 366 º, Sete Lagoas (MG),760,742,840,705
 366 º, Goiandira (GO),760,711,849,727
 366 º, Campinas do Sul (RS),760,753,842,691
 366 º, Araranguá (SC),760,745,853,691
 366 º, Santa Adélia (SP),760,750,835,702
 366 º, Tapejara (RS),760,763,837,688
 366 º, Serafina Corrêa (RS),760,755,843,690
 366 º, Tijucas (SC),760,747,873,672
 366 º, Jandira (SP),760,738,841,706
 366 º, Rio Negro (PR),760,721,863,705
 366 º, Taiúva (SP),760,732,835,718
 366 º, Modelo (SC),760,751,886,659
 366 º, Descalvado (SP),760,740,865,687
 366 º, Frederico Westphalen (RS),760,754,846,688
 366 º, Porto Belo (SC),760,750,886,660
 366 º, Estrela D'Oeste (SP),760,712,873,705
 383 º, Várzea Paulista (SP),759,720,863,705
 383 º, Penápolis (SP),759,748,859,680
 383 º, Iporã do Oeste (SC),759,743,847,695
 383 º, Monte Alegre do Sul (SP),759,752,858,678
 383 º, Santo Antônio do Planalto (RS),759,701,885,705
 383 º, Nova Candelária (RS),759,794,856,643
 383 º, Salvador (BA),759,772,835,679
 383 º, Cornélio Procópio (PR),759,746,848,692
 383 º, São Lourenço (MG),759,746,871,673
 383 º, Presidente Getúlio (SC),759,764,874,654
 383 º, Taquaral (SP),759,742,823,716
 383 º, Caraguatatuba (SP),759,735,845,705
 383 º, Rio das Pedras (SP),759,741,842,700
 383 º, Três de Maio (RS),759,756,834,694
 383 º, Inúbia Paulista (SP),759,688,849,750
 383 º, Gurupi (TO),759,736,843,706
 383 º, Rubinéia (SP),759,713,844,726
 400 º, Herval D'Oeste (SC),758,740,859,684
 400 º, Picada Café (RS),758,738,842,701
 400 º, São José dos Pinhais (PR),758,749,859,678
 400 º, Guabiju (RS),758,831,857,612
 400 º, Álvares Machado (SP),758,712,834,732
 400 º, Cordeirópolis (SP),758,754,858,674
 400 º, Fernando Prestes (SP),758,746,859,680
 400 º, Iguaraçu (PR),758,714,833,732
 400 º, Nova Mutum (MT),758,773,837,673
 400 º, João Monlevade (MG),758,724,849,708
 400 º, Nova Londrina (PR),758,735,856,691
 400 º, São João Del Rei (MG),758,733,860,690
 400 º, Piraju (SP),758,740,843,699
 400 º, Itaúna (MG),758,749,850,685
 400 º, Maripá (PR),758,736,866,684
 400 º, Porto Feliz (SP),758,737,836,706
 400 º, Colorado (RS),758,775,835,674
 400 º, Antônio Prado (RS),758,777,835,671
 400 º, Faxinal dos Guedes (SC),758,746,863,676
 400 º, Piratuba (SC),758,736,829,714
 420 º, Gravatal (SC),757,726,877,681
 420 º, Santa Rosa de Lima (SC),757,726,843,710
 420 º, Presidente Bernardes (SP),757,718,839,719
 420 º, Santo Antônio do Aracanguá (SP),757,710,840,728
 420 º, Canoinhas (SC),757,717,874,692
 420 º, Diadema (SP),757,717,844,716
 420 º, Vanini (RS),757,736,836,704
 420 º, Águas de Santa Bárbara (SP),757,744,840,695
 420 º, Dois Lajeados (RS),757,775,837,670
 420 º, Vista Gaúcha (RS),757,774,839,669
 420 º, Campo Mourão (PR),757,749,841,689
 420 º, Jataí (GO),757,774,856,656
 420 º, Piquete (SP),757,711,823,740
 420 º, Presidente Lucena (RS),757,727,885,674
 420 º, Colina (SP),757,720,845,712
 420 º, Cachoeirinha (RS),757,749,857,675
 420 º, Estância Velha (RS),757,749,887,652
 420 º, Chapada (RS),757,752,849,679
 420 º, Palhoça (SC),757,752,859,672
 420 º, Pedro Leopoldo (MG),757,723,856,700
 440 º, Ilhabela (SP),756,739,843,693
 440 º, Balneário Piçarras (SC),756,745,869,668
 440 º, Nova Castilho (SP),756,694,823,755
 440 º, Jambeiro (SP),756,727,860,690
 440 º, Quinze de Novembro (RS),756,783,841,655
 440 º, Itabira (MG),756,729,873,678
 440 º, Cravinhos (SP),756,737,857,683
 440 º, Hortolândia (SP),756,716,859,703
 440 º, Bálsamo (SP),756,746,835,695
 440 º, Pirangi (SP),756,735,837,701
 440 º, Contagem (MG),756,745,832,697
 440 º, Fortaleza dos Valos (RS),756,779,837,663
 440 º, Passos (MG),756,741,886,658
 453 º, Coronel Fabriciano (MG),755,715,865,696
 453 º, São Pedro (SP),755,741,863,674
 453 º, São Ludgero (SC),755,756,834,683
 453 º, Saudades (SC),755,723,850,700
 453 º, Brodowski (SP),755,738,864,675
 453 º, Aparecida (SP),755,735,828,706
 453 º, Alto Bela Vista (SC),755,734,882,664
 453 º, Rondonópolis (MT),755,749,823,698
 453 º, Formiga (MG),755,729,874,676
 453 º, Cianorte (PR),755,747,841,685
 453 º, Montenegro (RS),755,761,866,654
 453 º, Pongaí (SP),755,727,844,701
 453 º, Orleans (SC),755,749,873,657
 453 º, São José do Ouro (RS),755,759,846,669
 467 º, Fortaleza (CE),754,749,824,695
 467 º, Sinop (MT),754,755,832,682
 467 º, Guabiruba (SC),754,750,876,653
 467 º, Boracéia (SP),754,723,866,685
 467 º, São Vendelino (RS),754,743,852,677
 467 º, Rio do Oeste (SC),754,769,892,625
 467 º, Esteio (RS),754,769,843,662
 467 º, Mongaguá (SP),754,719,854,699
 467 º, Analândia (SP),754,745,861,668
 467 º, Neves Paulista (SP),754,737,823,707
 467 º, Vera Cruz (SP),754,722,830,715
 467 º, Praia Grande (SP),754,744,834,692
 467 º, Cunhataí (SC),754,777,886,623
 467 º, Rodeio (SC),754,769,889,626
 467 º, Corumbataí (SP),754,728,841,700
 467 º, Lauro de Freitas (BA),754,781,827,663
 467 º, Chapadão do Sul (MS),754,758,850,665
 467 º, Constantina (RS),754,726,885,668
 467 º, Rio Verde (GO),754,765,853,656
 467 º, Registro (SP),754,718,851,702
 467 º, Flores da Cunha (RS),754,786,849,642
 488 º, Rancho Queimado (SC),753,743,893,644
 488 º, Ipeúna (SP),753,737,845,685
 488 º, Palmeira D'Oeste (SP),753,720,829,714
 488 º, Salvador das Missões (RS),753,710,851,706
 488 º, Monte Azul Paulista (SP),753,733,843,690
 488 º, Congonhas (MG),753,732,877,665
 488 º, Tarumã (SP),753,738,852,680
 488 º, Santo Anastácio (SP),753,725,854,689
 488 º, Magda (SP),753,724,823,717
 488 º, Três Fronteiras (SP),753,710,829,726
 488 º, Nilópolis (RJ),753,731,817,716
 488 º, Mangaratiba (RJ),753,746,845,676
 488 º, Novo Horizonte (SP),753,741,865,665
 488 º, Estação (RS),753,752,843,674
 488 º, Guaíra (SP),753,759,824,683
 488 º, Ajuricaba (RS),753,763,850,658
 488 º, Garopaba (SC),753,737,868,668
 488 º, Forquilhinha (SC),753,754,861,657
 488 º, João Neiva (ES),753,751,857,663
 488 º, Nicolau Vergueiro (RS),753,772,839,660
 508 º, Aracruz (ES),752,717,838,707
 508 º, Enéas Marques (PR),752,767,835,664
 508 º, Laguna (SC),752,715,871,682
 508 º, Marapoama (SP),752,736,852,679
 508 º, Araguaína (TO),752,727,821,712
 508 º, Monte Belo do Sul (RS),752,752,852,663
 508 º, Tatuí (SP),752,734,842,688
 508 º, Três Marias (MG),752,706,866,695
 508 º, Tunápolis (SC),752,728,830,704
 508 º, Severiano de Almeida (RS),752,738,861,670
 508 º, Itumbiara (GO),752,744,838,682
 508 º, Primavera do Leste (MT),752,774,843,653
 508 º, Westfalia (RS),752,796,849,630
 508 º, Pranchita (PR),752,743,821,696
 508 º, Xaxim (SC),752,737,871,662
 508 º, Boa Vista (RR),752,737,816,708
 508 º, Lucélia (SP),752,728,841,695
 508 º, Capinzal (SC),752,742,869,659
 526 º, Mandaguari (PR),751,732,840,689
 526 º, Guaxupé (MG),751,729,880,659
 526 º, Nhandeara (SP),751,755,835,672
 526 º, Cataguases (MG),751,718,861,685
 526 º, Pinhais (PR),751,761,836,666
 526 º, Foz do Iguaçu (PR),751,748,858,661
 526 º, Cambuí (MG),751,722,872,674
 526 º, Teresina (PI),751,731,820,707
 526 º, Indiaporã (SP),751,714,835,710
 526 º, Guarujá (SP),751,729,854,679
 526 º, Porto Ferreira (SP),751,736,827,696
 526 º, Rancharia (SP),751,720,861,683
 526 º, Guaraciaba (SC),751,754,871,646
 526 º, Guaramirim (SC),751,748,885,641
 526 º, Sales (SP),751,708,859,697
 526 º, Osório (RS),751,769,853,646
 526 º, Ubatuba (SP),751,741,841,679
 526 º, Turiúba (SP),751,713,824,721
 526 º, Américo Brasiliense (SP),751,709,852,701
 526 º, Sertão (RS),751,746,837,678
 526 º, Bastos (SP),751,696,848,718
 526 º, Planalto Alegre (SC),751,731,881,659
 526 º, Tapiratiba (SP),751,703,870,692
 526 º, Catiguá (SP),751,734,852,676
 526 º, Mirandópolis (SP),751,732,869,665
 551 º, Paranaguá (PR),750,733,852,676
 551 º, Canoas (RS),750,768,864,636
 551 º, Cruz Alta (RS),750,754,858,653
 551 º, Presidente Epitácio (SP),750,714,845,700
 551 º, Bariri (SP),750,736,867,662
 551 º, Bom Despacho (MG),750,742,861,661
 551 º, Campo Verde (MT),750,755,834,670
 551 º, Água Santa (RS),750,840,850,590
 551 º, Capivari (SP),750,744,848,669
 551 º, São João do Pau D'Alho (SP),750,714,854,692
 551 º, Feliz (RS),750,758,847,658
 562 º, União Paulista (SP),749,697,863,699
 562 º, Campos do Jordão (SP),749,761,852,648
 562 º, Embu-Guaçu (SP),749,713,834,708
 562 º, Oscar Bressane (SP),749,713,823,715
 562 º, Betim (MG),749,709,864,687
 562 º, Laurentino (SC),749,742,855,662
 562 º, Linha Nova (RS),749,751,846,662
 562 º, Arcos (MG),749,717,874,671
 562 º, São Lourenço do Oeste (SC),749,748,807,695
 562 º, Terra Roxa (SP),749,732,838,684
 562 º, Antônio Carlos (SC),749,768,890,615
 562 º, Ipuã (SP),749,759,848,654
 562 º, Pareci Novo (RS),749,738,852,668
 562 º, Peruíbe (SP),749,730,854,675
 562 º, Rio Grande da Serra (SP),749,684,823,745
 562 º, Paraíso (SP),749,751,837,668
 562 º, Carapicuíba (SP),749,721,842,693
 562 º, Harmonia (RS),749,748,841,668
 562 º, Pirajuí (SP),749,734,853,672
 562 º, Xavantina (SC),749,772,861,632
 562 º, Artur Nogueira (SP),749,745,827,681
 583 º, São João de Iracema (SP),748,682,833,738
 583 º, Duartina (SP),748,716,837,698
 583 º, Tanabi (SP),748,735,829,687
 583 º, Ituporanga (SC),748,749,876,638
 583 º, Barra do Garças (MT),748,738,817,693
 583 º, Mondaí (SC),748,728,875,657
 583 º, Canela (RS),748,738,849,667
 583 º, Nova Trento (SC),748,749,891,628
 583 º, São João do Polêsine (RS),748,748,847,661
 583 º, Miraselva (PR),748,694,854,707
 583 º, Apucarana (PR),748,741,845,668
 583 º, Cafelândia (PR),748,723,835,692
 583 º, Cabedelo (PB),748,782,822,651
 583 º, Arapongas (PR),748,751,834,669
 583 º, Barão (RS),748,767,836,652
 583 º, Taquaritinga (SP),748,727,827,696
 599 º, Sananduva (RS),747,764,843,647
