sg_uf,nm_municipio,cd_cargo,ds_cargo,nr_candidato,nm_candidato,nm_urna_candidato,sg_partido,ds_composicao_coligacao,nr_turno,ds_sit_totalizacao,dt_ult_totalizacao,sg_ue,sq_candidato,nm_tipo_destinacao_votos,sq_eleicao_divulga,aa_eleicao,nm_regiao,pc_votos_validos,qt_votos_nom_validos,qt_votos_concorrentes
AC,ACRELÂNDIA,1,Presidente,45,AÉCIO NEVES DA CUNHA,AÉCIO NEVES,PSDB,PSDB / PMN / SD / DEM / PEN / PTN / PTB / PTC / PT do B,2,Não Eleito,2014-10-27 00:13:59,BR,280000000085,#NE,680,2014,NORTE,0.6484,4076,6286
AC,ACRELÂNDIA,1,Presidente,13,DILMA VANA ROUSSEFF,DILMA,PT,PT / PMDB / PSD / PP / PR / PROS / PDT / PC do B / PRB,2,Eleito,2014-10-27 00:13:59,BR,280000000083,#NE,680,2014,NORTE,0.3516,2210,6286
AC,ACRELÂNDIA,3,Governador,45,MÁRCIO MIGUEL BITTAR,MÁRCIO BITTAR,PSDB,PMDB / PSDB / PT do B / PSC / PTC / PPS / PR / SD / PP / PSD,2,Não Eleito,2014-10-26 19:19:11,AC,10000000003,#NE,680,2014,NORTE,0.5698,3564,6255
AC,ACRELÂNDIA,3,Governador,13,SEBASTIÃO AFONSO VIANA MACEDO NEVES,TIÃO VIANA,PT,PDT / PRB / PT / PSL / PTN / PSDC / PHS / PSB / PRP / PEN / PPL / PC do B / PROS / PTB,2,Eleito,2014-10-26 19:19:11,AC,10000000152,#NE,680,2014,NORTE,0.4302,2691,6255
AC,ASSIS BRASIL,1,Presidente,45,AÉCIO NEVES DA CUNHA,AÉCIO NEVES,PSDB,PSDB / PMN / SD / DEM / PEN / PTN / PTB / PTC / PT do B,2,Não Eleito,2014-10-27 00:13:59,BR,280000000085,#NE,680,2014,NORTE,0.5184,2116,4082
AC,ASSIS BRASIL,1,Presidente,13,DILMA VANA ROUSSEFF,DILMA,PT,PT / PMDB / PSD / PP / PR / PROS / PDT / PC do B / PRB,2,Eleito,2014-10-27 00:13:59,BR,280000000083,#NE,680,2014,NORTE,0.4816,1966,4082
AC,ASSIS BRASIL,3,Governador,13,SEBASTIÃO AFONSO VIANA MACEDO NEVES,TIÃO VIANA,PT,PDT / PRB / PT / PSL / PTN / PSDC / PHS / PSB / PRP / PEN / PPL / PC do B / PROS / PTB,2,Eleito,2014-10-26 19:19:11,AC,10000000152,#NE,680,2014,NORTE,0.5168,2102,4067
AC,ASSIS BRASIL,3,Governador,45,MÁRCIO MIGUEL BITTAR,MÁRCIO BITTAR,PSDB,PMDB / PSDB / PT do B / PSC / PTC / PPS / PR / SD / PP / PSD,2,Não Eleito,2014-10-26 19:19:11,AC,10000000003,#NE,680,2014,NORTE,0.4832,1965,4067
AC,BRASILÉIA,1,Presidente,45,AÉCIO NEVES DA CUNHA,AÉCIO NEVES,PSDB,PSDB / PMN / SD / DEM / PEN / PTN / PTB / PTC / PT do B,2,Não Eleito,2014-10-27 00:13:59,BR,280000000085,#NE,680,2014,NORTE,0.6074,7553,12435
AC,BRASILÉIA,1,Presidente,13,DILMA VANA ROUSSEFF,DILMA,PT,PT / PMDB / PSD / PP / PR / PROS / PDT / PC do B / PRB,2,Eleito,2014-10-27 00:13:59,BR,280000000083,#NE,680,2014,NORTE,0.3926,4882,12435
